id,step,timestamp,entry,delta
204,step-inject-buildpacks,2024-01-18T09:58:56.209589,add_new_group /tmp_builder/order.toml ,18.2534
205,step-inject-buildpacks,2024-01-18T09:58:56.209596,local toml_file=/tmp_builder/order.toml ,18.2535
206,step-inject-buildpacks,2024-01-18T09:58:56.209600,local tmpdir ,18.2535
207,step-inject-buildpacks,2024-01-18T09:58:56.210277,mktemp -d ,18.2541
208,step-inject-buildpacks,2024-01-18T09:58:56.211168,tmpdir=/tmp/tmp.CGkDKf ,18.2550
209,step-inject-buildpacks,2024-01-18T09:58:56.211302,local tmp_toml=/tmp/tmp.CGkDKf/tmp.toml ,18.2552
210,step-inject-buildpacks,2024-01-18T09:58:56.211669,cat ,18.2555
211,step-inject-buildpacks,2024-01-18T09:58:56.212648,cat /tmp_builder/order.toml ,18.2565
212,step-inject-buildpacks,2024-01-18T09:58:56.213479,/tmp_builder/order.toml,18.2573
213,step-inject-buildpacks,2024-01-18T09:58:56.214345,/tmp_builder/order.toml,18.2582
214,step-inject-buildpacks,2024-01-18T09:58:56.215021,/tmp/tmp.CGkDKf,18.2589
215,step-inject-buildpacks,2024-01-18T09:58:56.215941,/tmp_builder/order.toml,18.2598
216,step-inject-buildpacks,2024-01-18T09:58:56.215957,local buildpacks_dir=/tmp_builder/buildpacks ,18.2598
217,step-inject-buildpacks,2024-01-18T09:58:56.215961,local order_toml=/tmp_builder/order.toml ,18.2598
218,step-inject-buildpacks,2024-01-18T09:58:56.215964,/tmp_builder/buildpacks/emk_rust/0.1/,18.2598
219,step-inject-buildpacks,2024-01-18T09:58:56.216033,local url=https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/rust-buildpack/-/archive/move_to_api_0.10/rust-buildpack-move_to_api_0.10.zip ,18.2599
220,step-inject-buildpacks,2024-01-18T09:58:56.216039,local dest_dir=/tmp_builder/buildpacks/emk_rust/0.1/ ,18.2599
221,step-inject-buildpacks,2024-01-18T09:58:56.216042,local tmpdir ,18.2599
222,step-inject-buildpacks,2024-01-18T09:58:56.216937,mktemp -d ,18.2608
223,step-inject-buildpacks,2024-01-18T09:58:56.217839,tmpdir=/tmp/tmp.pjiLKE ,18.2617
224,step-inject-buildpacks,2024-01-18T09:58:56.217851,cd /tmp/tmp.pjiLKE ,18.2617
225,step-inject-buildpacks,2024-01-18T09:58:56.217877,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/rust-buildpack/-/archive/move_to_api_0.10/rust-buildpack-move_to_api_0.10.zip ,18.2617
226,step-inject-buildpacks,2024-01-18T09:58:56.379447,(208.80.153.8:443),18.4233
227,step-inject-buildpacks,2024-01-18T09:58:57.127036,to 'rust-buildpack-move_to_api_0.10.zip' ,19.1709
228,step-inject-buildpacks,2024-01-18T09:58:57.128418,6408  0:00:00 ETA,19.1723
229,step-inject-buildpacks,2024-01-18T09:58:57.129182,saved ,19.1730
230,step-inject-buildpacks,2024-01-18T09:58:57.136649,rust-buildpack-move_to_api_0.10.zip,19.1805
